time,Gas_for_paper,Hourly_Production,Total_water,Quantitative_measurement_of_coiling_scan_frame,#1_Turbine_Motor_Side_Pressure,#1_Turbine_Free_Side_Pressure,#1_Turbine_Negative_Pressure,#1_Turbine_Negative_Pressure.1,#1_Turbine_Main_Motor_Current,#1_Vacuum_Pump_Motor_Side_Vibration,#1_Vacuum_Pump_Free_Side_Vibration,#2_Turbine_Motor_Side_Pressure,#2_Turbine_Free_Side_Pressure,#2_Turbine_Negative_Pressure,#2_Turbine_Negative_Pressure.1,#2_Turbine_Main_Motor_Current,#2_Vacuum_Pump_Motor_Side_Vibration,#2_Vacuum_Pump_Free_Side_Vibration,#3_Turbine_Motor_Side_Pressure,#3_Turbine_Free_Side_Pressure,#3_Turbine_Negative_Pressure,#3_Turbine_Negative_Pressure.1,#3_Turbine_Main_Motor_Current,#3_Vacuum_Pump_Motor_Side_Vibration,#3_Vacuum_Pump_Free_Side_Vibration,#4_Turbine_Free_Side_Pressure,#4_Turbine_Negative_Pressure,#4_Turbine_Negative_Pressure.1,#4_Turbine_Main_Motor_Current,#4_Vacuum_Pump_Motor_Side_Vibration,#4_Vacuum_Pump_Free_Side_Vibration
2022-07-04 00:01:00,1.019,41.7,27.0,139.1,-26.5,-36.9,-31.7,90.0,86.7,13.7,7.5,-50.1,-62.2,-56.2,90.0,58.4,1.6,21.4,-56.7,-42.7,-49.7,92.0,86.4,0.6,13.2,-52.4,-52.4,100.0,75.8,12.2,3.0
2022-07-04 00:02:00,1.016,41.7,27.0,140.3,-26.6,-37.0,-31.8,90.0,86.4,13.7,7.5,-50.2,-62.4,-56.3,90.0,58.4,1.6,21.3,-56.8,-42.8,-49.8,92.0,86.0,0.6,13.0,-52.4,-52.4,100.0,76.0,12.2,3.1
2022-07-04 00:03:00,1.01,41.7,27.0,140.7,-26.7,-36.9,-31.8,90.0,86.4,13.7,7.4,-50.2,-62.4,-56.3,90.0,58.4,1.6,21.1,-57.0,-42.8,-49.9,92.0,86.1,0.6,13.1,-52.4,-52.4,100.0,76.0,12.2,3.0
2022-07-04 00:04:00,1.02,41.7,29.0,140.7,-26.8,-36.9,-31.9,90.0,86.1,13.7,7.5,-50.2,-62.4,-56.3,90.0,58.2,1.6,21.8,-56.8,-42.7,-49.8,92.0,86.1,0.6,13.1,-52.4,-52.4,100.0,76.0,12.2,2.9
2022-07-04 00:05:00,1.033,41.7,29.0,140.5,-27.0,-37.0,-32.0,90.0,86.2,13.7,7.5,-50.2,-62.4,-56.3,90.0,58.3,1.6,21.2,-56.8,-42.8,-49.8,92.0,86.2,0.6,13.1,-52.4,-52.4,100.0,75.8,12.2,3.2
2022-07-04 00:06:00,1.012,41.7,30.0,140.1,-26.9,-36.9,-31.9,90.0,86.4,13.7,7.3,-50.2,-62.3,-56.2,90.0,58.2,1.6,21.1,-56.8,-42.8,-49.8,92.0,86.2,0.6,13.1,-52.4,-52.4,100.0,76.0,12.2,3.3
2022-07-04 00:07:00,0.983,41.7,30.0,140.1,-27.0,-36.9,-31.9,90.0,86.4,13.7,7.4,-50.2,-62.3,-56.2,90.0,58.4,1.6,21.1,-56.8,-42.8,-49.8,92.0,86.1,0.6,13.2,-52.4,-52.4,100.0,75.9,12.2,3.1
2022-07-04 00:08:00,0.98,41.7,30.0,138.9,-27.0,-36.9,-31.9,90.0,86.3,13.7,7.4,-50.2,-62.3,-56.2,90.0,58.5,1.6,21.1,-56.7,-42.7,-49.7,92.0,86.2,0.6,13.2,-52.4,-52.4,100.0,75.8,12.2,3.3
2022-07-04 00:09:00,1.002,41.7,29.0,139.4,-27.1,-37.0,-32.0,90.0,85.6,13.7,7.4,-50.2,-62.4,-56.3,90.0,58.4,1.6,21.3,-56.9,-42.8,-49.8,92.0,86.1,0.6,13.1,-52.4,-52.4,100.0,76.0,12.2,3.0
2022-07-04 00:10:00,1.026,41.7,27.0,139.8,-27.1,-37.0,-32.1,90.0,85.6,13.7,7.4,-50.2,-62.4,-56.3,90.0,58.2,1.6,21.1,-56.8,-42.8,-49.8,92.0,85.9,0.6,13.4,-52.4,-52.4,100.0,75.7,12.2,3.1
