Hourly_Production,#1_Turbine_Motor_Side_Pressure,#1_Turbine_Free_Side_Pressure,#1_Turbine_Negative_Pressure,#1_Turbine_Negative_Pressure.1,#1_Turbine_Main_Motor_Current,#1_Vacuum_Pump_Motor_Side_Vibration,#1_Vacuum_Pump_Free_Side_Vibration,#2_Turbine_Motor_Side_Pressure,#2_Turbine_Free_Side_Pressure,#2_Turbine_Negative_Pressure,#2_Turbine_Negative_Pressure.1,#2_Turbine_Main_Motor_Current,#2_Vacuum_Pump_Motor_Side_Vibration,#2_Vacuum_Pump_Free_Side_Vibration,#3_Turbine_Motor_Side_Pressure,#3_Turbine_Free_Side_Pressure,#3_Turbine_Negative_Pressure,#3_Turbine_Negative_Pressure.1,#3_Turbine_Main_Motor_Current,#3_Vacuum_Pump_Motor_Side_Vibration,#3_Vacuum_Pump_Free_Side_Vibration,#4_Turbine_Free_Side_Pressure,#4_Turbine_Negative_Pressure,#4_Turbine_Negative_Pressure.1,#4_Turbine_Main_Motor_Current,#4_Vacuum_Pump_Motor_Side_Vibration,#4_Vacuum_Pump_Free_Side_Vibration
33.2,-37.1,-31.4,-34.3,85.0,57.7,18.2,9.600000000000001,-35.9,-50.9,-43.4,70.0,43.7,1.6,15.4,-54.0,-39.2,-46.6,86.0,81.1,0.7,15.8,-50.5,-50.5,100.0,75.3,12.3,2.5
36.1,-37.6,-30.7,-34.1,87.0,65.7,17.6,9.600000000000001,-35.6,-50.1,-42.8,70.0,44.5,1.6,15.1,-56.8,-41.0,-48.9,89.0,84.4,0.7,14.7,-50.8,-50.8,100.0,74.1,13.2,2.5
40.0,-41.4,-35.4,-38.4,90.0,75.1,18.5,6.3,-38.6,-53.0,-45.8,73.0,46.6,1.4,16.1,-54.2,-39.4,-46.8,86.0,80.8,0.6,16.3,-46.1,-46.1,100.0,85.8,12.3,2.6
41.1,-33.7,-39.4,-36.6,93.0,78.0,13.1,6.4,-49.0,-61.6,-55.3,88.0,53.9,1.6,18.2,-59.7,-43.5,-51.6,93.0,78.7,0.5,12.5,-50.7,-50.7,100.0,75.4,13.1,2.5
35.2,-36.3,-29.000000000000004,-32.5,85.0,66.4,18.6,9.600000000000001,-35.3,-49.0,-42.1,70.0,47.1,1.7500000000000002,14.9,-50.4,-37.44999999999999,-43.6,84.0,86.5,0.6,17.8,-50.6,-50.6,100.0,76.4,12.3,3.2
38.9,-39.0,-33.4,-36.2,90.0,85.1,19.2,6.5,-37.7,-51.1,-44.4,73.0,49.2,1.6,15.5,-55.9,-40.2,-48.1,88.0,84.5,0.6,14.8,-48.1,-48.1,100.0,83.4,12.2,2.5
40.0,-38.6,-35.2,-36.9,90.0,71.1,17.2,6.4,-38.3,-52.6,-45.4,73.0,47.4,1.3499999999999999,16.0,-50.9,-37.7,-44.3,85.0,87.9,0.7,17.7,-44.0,-44.0,100.0,83.7,12.8,3.4
41.7,-27.1,-37.0,-32.1,90.0,85.3,13.5,6.9,-50.2,-62.5,-56.3,90.0,57.9,1.6,21.1,-56.7,-42.8,-49.7,92.0,86.1,0.6,13.2,-52.4,-52.4,100.0,75.6,12.2,3.3
41.8,-35.9,-34.5,-35.2,86.5,63.0,16.7,7.9,-33.0,-49.5,-41.2,73.0,39.2,1.6,17.8,-54.9,-42.3,-48.6,91.0,87.3,0.6,14.7,-44.1,-44.1,100.0,91.9,12.6,3.0
42.2,-35.8,-35.6,-35.7,89.0,79.0,16.7,7.5,-32.5,-48.9,-40.7,72.0,37.4,1.6,16.9,-57.8,-42.6,-50.2,91.0,80.3,0.7,13.0,-47.1,-47.1,100.0,88.2,12.3,2.8
